序号,画面标识,结果,位置,置信度
200,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
201,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
202,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
203,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
204,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
205,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
206,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
207,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
208,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
209,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
210,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
211,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
212,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
213,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
214,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
215,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
216,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
217,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
218,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
219,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
220,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
221,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
222,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
223,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
224,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
225,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
226,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
227,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
228,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
229,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
230,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
231,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
232,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
233,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
234,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
235,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
236,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
237,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
238,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
239,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
240,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
241,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
242,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
243,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
244,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
245,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
246,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
247,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
248,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
249,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
250,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
251,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
252,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.58
253,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
254,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
255,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.40
256,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.29
257,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
258,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,517",0.59
259,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
260,D:/我的桌面/Video.mp4,buffalo 水牛,"270,169,343,266",0.49
261,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.39
262,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.30
263,D:/我的桌面/Video.mp4,buffalo 水牛,"156,188,206,284",0.67
264,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,138,516",0.58
265,D:/我的桌面/Video.mp4,buffalo 水牛,"358,190,521,472",0.52
266,D:/我的桌面/Video.mp4,buffalo 水牛,"269,169,343,266",0.49
267,D:/我的桌面/Video.mp4,buffalo 水牛,"586,159,639,227",0.41
268,D:/我的桌面/Video.mp4,buffalo 水牛,"21,179,119,259",0.28
269,D:/我的桌面/Video.mp4,buffalo 水牛,"152,187,204,285",0.64
270,D:/我的桌面/Video.mp4,buffalo 水牛,"0,224,136,525",0.59
271,D:/我的桌面/Video.mp4,buffalo 水牛,"360,184,526,474",0.53
272,D:/我的桌面/Video.mp4,dog 狗,"97,528,276,639",0.47
273,D:/我的桌面/Video.mp4,buffalo 水牛,"268,165,343,265",0.46
274,D:/我的桌面/Video.mp4,buffalo 水牛,"591,151,639,225",0.34
275,D:/我的桌面/Video.mp4,buffalo 水牛,"13,178,114,259",0.27
276,D:/我的桌面/Video.mp4,buffalo 水牛,"140,178,195,285",0.61
277,D:/我的桌面/Video.mp4,buffalo 水牛,"0,214,124,551",0.61
278,D:/我的桌面/Video.mp4,buffalo 水牛,"365,173,540,485",0.44
279,D:/我的桌面/Video.mp4,buffalo 水牛,"262,155,342,264",0.44
280,D:/我的桌面/Video.mp4,buffalo 水牛,"112,162,172,285",0.72
281,D:/我的桌面/Video.mp4,buffalo 水牛,"0,161,58,260",0.58
282,D:/我的桌面/Video.mp4,buffalo 水牛,"251,131,341,253",0.57
283,D:/我的桌面/Video.mp4,buffalo 水牛,"371,141,574,508",0.53
284,D:/我的桌面/Video.mp4,buffalo 水牛,"0,223,98,575",0.53
285,D:/我的桌面/Video.mp4,buffalo 水牛,"386,76,639,562",0.60
286,D:/我的桌面/Video.mp4,buffalo 水牛,"50,130,127,295",0.59
287,D:/我的桌面/Video.mp4,buffalo 水牛,"195,87,340,240",0.50
288,D:/我的桌面/Video.mp4,Monkey 猴子,"393,1,640,617",0.64
289,D:/我的桌面/Video.mp4,WildBoar 野猪,"34,0,335,236",0.47
290,D:/我的桌面/Video.mp4,dog 狗,"13,0,477,554",0.59
291,D:/我的桌面/Video.mp4,dog 狗,"48,10,424,486",0.87
292,D:/我的桌面/Video.mp4,dog 狗,"81,42,407,470",0.91
293,D:/我的桌面/Video.mp4,dog 狗,"81,63,400,459",0.92
294,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
295,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
296,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
297,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
298,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
299,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
300,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
301,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
302,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
303,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
304,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
305,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
306,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
307,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
308,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
309,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
310,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
311,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
312,D:/我的桌面/Video.mp4,dog 狗,"77,69,400,460",0.92
313,D:/我的桌面/Video.mp4,dog 狗,"81,72,399,458",0.92
314,D:/我的桌面/Video.mp4,dog 狗,"120,97,387,438",0.85
315,D:/我的桌面/Video.mp4,bear 熊,"0,53,637,640",0.27
316,D:/我的桌面/Video.mp4,WildBoar 野猪,"20,145,583,640",0.39
317,D:/我的桌面/Video.mp4,Deer 鹿,"7,130,603,640",0.29
318,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
319,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
320,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
321,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
322,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
323,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
324,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
325,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
326,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
327,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
328,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
329,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
330,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
331,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,610",0.90
332,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
333,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
334,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
335,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
336,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
337,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
338,D:/我的桌面/Video.mp4,Deer 鹿,"93,169,499,611",0.90
